| Feature / Module                             | Effort estimation | Impact clinique / commercial |     Urgence     | Comments                                      |
| -------------------------------------------- | ----------------: | ---------------------------: | :-------------: | --------------------------------------------- |
| 1) Cockpit patient + alertes de base         |                 3 |                            5 |    Très haute   | MVP essentiel                                 |
| 2) IA assistant contextuel RAG + explication |                 3 |                            5 |    Très haute   | Permet wow + valeur immédiate                 |
| 3) Visual analytics 3D + timeline            |                 4 |                            4 |      Haute      | Fort différenciateur visuel                   |
| 4) Traçabilité des recommandations           |                 2 |                            5 |    Très haute   | Compliance & crédibilité                      |
| 5) Export PDF / résumé structuré             |                 1 |                            3 |     Moyenne     | Utile pour partage & archives                 |
| 6) FHIR ingestion standard                   |                 4 |                            5 |      Haute      | Nécessaire pour pilote réel                   |
| 7) SMART launch (app)                        |                 3 |                            4 |      Haute      | Intégration utilisateur                       |
| 8) CDS Hooks                                 |                 4 |                            4 | Moyenne à haute | Déclenchement workflow, dépend de support EHR |
| 9) Validation humaine intégrée               |                 2 |                            5 |    Très haute   | Sécurité & confiance                          |
| 10) RBAC / audit / sécurité renforcée        |                 3 |                            4 |      Haute      | Demande compliance B2B                        |
| 11) Cohort builder no‑code                   |                 5 |                            4 |     Moyenne     | Phase scale, forte différenciation            |
| 12) Outcomes comparatif / analytics          |                 5 |                            4 |     Moyenne     | Recherche & benchmarks                        |
| 13) Consent management / break‑glass         |                 4 |                            4 |     Moyenne     | Pilote avancé, réglementation                 |
| 14) Monitoring modèle IA / dérive            |                 4 |                            4 |     Moyenne     | Maintien qualité, phase scale                 |
